customer_id,age,gender,marital_status,education,annual_income,annual_purchases,avg_purchase_amount,online_purchase_ratio,last_purchase_date,loyalty_score,return_rate,avg_visit_duration,monthly_visits,conversion_rate,ad_click_rate
CUST_00000,40,Female,Single,Bachelors,268,19,7227,0.67,2025-01-18 15:23:19.628568,100,10.5,17,4,50.0,100.0
CUST_00001,33,Female,Single,Bachelors,450,6,746,0.47,2025-01-26 15:23:19.628568,99,0.0,13,11,27.3,54.5
CUST_00002,42,Female,Married,High School,501,11,729,0.87,2025-01-29 15:23:19.628568,100,0.0,17,6,16.7,50.0
CUST_00003,53,Female,Single,Bachelors,463,8,3583,0.54,2025-01-24 15:23:19.628568,100,12.5,14,7,42.9,57.1
CUST_00004,32,Male,Single,PhD,326,9,2583,0.43,2025-01-18 15:23:19.628568,100,22.2,9,6,0.0,50.0
CUST_00005,32,Female,Married,Masters,158,11,681,0.22,2025-01-20 15:23:19.628568,100,0.0,9,6,33.3,33.3
CUST_00006,53,Female,Married,PhD,912,12,2097,0.42,2025-01-14 15:23:19.628568,100,16.7,10,5,0.0,0.0
CUST_00007,44,Male,Single,PhD,184,12,2745,0.72,2025-01-27 15:23:19.628568,100,0.0,17,4,25.0,75.0
CUST_00008,29,Female,Single,Masters,1468,17,1531,0.47,2025-01-17 15:23:19.628568,100,5.9,13,9,0.0,22.2
CUST_00009,41,Female,Single,Bachelors,485,12,2451,0.57,2025-01-23 15:23:19.628568,100,0.0,16,4,0.0,100.0
CUST_00010,29,Male,Married,Masters,391,14,642,0.49,2025-01-25 15:23:19.628568,100,0.0,15,8,50.0,50.0
CUST_00011,29,Female,Single,Bachelors,251,9,1103,0.42,2025-01-26 15:23:19.628568,100,0.0,13,9,22.2,22.2
CUST_00012,37,Male,Married,Bachelors,238,13,2193,0.47,2025-02-03 15:23:19.628568,100,15.4,13,9,44.4,33.3
CUST_00013,18,Female,Married,Masters,349,21,869,0.75,2025-01-18 15:23:19.628568,100,0.0,22,12,25.0,25.0
CUST_00014,18,Male,Married,High School,600,13,2955,0.61,2025-01-18 15:23:19.628568,100,15.4,17,14,0.0,7.1
CUST_00015,28,Female,Married,High School,1106,11,1733,0.41,2025-01-22 15:23:19.628568,100,18.2,14,5,100.0,80.0
CUST_00016,22,Male,Married,PhD,251,14,900,0.46,2025-01-19 15:23:19.628568,100,7.1,13,9,11.1,44.4
CUST_00017,38,Female,Married,Bachelors,653,8,3539,0.41,2025-01-15 15:23:19.628568,97,0.0,17,7,28.6,57.1
CUST_00018,24,Female,Single,High School,216,3,2513,0.58,2025-01-25 15:23:19.628568,92,66.7,13,7,42.9,42.9
CUST_00019,18,Male,Married,High School,347,13,3212,0.56,2025-02-04 15:23:19.628568,100,15.4,12,4,25.0,100.0
CUST_00020,52,Male,Single,Bachelors,701,23,2004,0.75,2025-01-10 15:23:19.628568,100,0.0,18,7,42.9,71.4
CUST_00021,32,Male,Married,Masters,328,14,2387,0.26,2025-01-24 15:23:19.628568,100,7.1,20,10,10.0,10.0
CUST_00022,35,Female,Married,Masters,1181,12,1562,0.58,2025-01-11 15:23:19.628568,100,25.0,14,9,11.1,55.6
CUST_00023,18,Male,Married,Bachelors,796,10,1136,0.41,2025-01-28 15:23:19.628568,100,0.0,14,12,33.3,41.7
CUST_00024,28,Female,Married,High School,699,8,1897,0.46,2025-01-22 15:23:19.628568,100,25.0,16,4,75.0,100.0
CUST_00025,36,Male,Married,Masters,413,4,2635,0.42,2025-01-18 15:23:19.628568,91,50.0,15,9,33.3,44.4
CUST_00026,21,Female,Single,PhD,354,18,1954,0.27,2025-01-19 15:23:19.628568,100,11.1,12,11,9.1,54.5
CUST_00027,39,Female,Married,Bachelors,434,15,5484,0.43,2025-01-24 15:23:19.628568,100,13.3,17,11,0.0,63.6
CUST_00028,27,Male,Married,High School,618,16,1966,0.58,2025-01-29 15:23:19.628568,100,12.5,22,6,0.0,66.7
CUST_00029,31,Female,Married,Bachelors,618,5,672,0.38,2025-01-26 15:23:19.628568,97,0.0,20,6,33.3,66.7
CUST_00030,27,Male,Single,High School,362,10,1870,0.36,2025-01-24 15:23:19.628568,100,0.0,15,5,40.0,80.0
CUST_00031,57,Male,Married,Bachelors,379,14,2278,0.29,2025-01-23 15:23:19.628568,100,0.0,17,8,50.0,25.0
CUST_00032,34,Male,Single,High School,251,14,2796,0.32,2025-01-21 15:23:19.628568,100,7.1,24,11,27.3,27.3
CUST_00033,22,Female,Married,Bachelors,1706,15,1146,0.34,2025-01-22 15:23:19.628568,100,0.0,12,7,28.6,14.3
CUST_00034,44,Female,Single,Bachelors,348,8,945,0.68,2025-01-25 15:23:19.628568,100,0.0,13,5,20.0,40.0
CUST_00035,20,Female,Married,Bachelors,235,18,2213,0.72,2025-01-26 15:23:19.628568,100,16.7,16,11,18.2,45.5
CUST_00036,37,Female,Single,Masters,157,11,1411,0.72,2025-01-17 15:23:19.628568,100,9.1,15,11,18.2,18.2
CUST_00037,18,Male,Married,Bachelors,390,11,1775,0.6,2025-01-10 15:23:19.628568,100,0.0,14,10,10.0,20.0
CUST_00038,19,Female,Married,High School,668,13,2308,0.42,2025-01-22 15:23:19.628568,100,0.0,17,8,37.5,75.0
CUST_00039,37,Male,Married,Bachelors,518,9,1799,0.36,2025-01-22 15:23:19.628568,100,0.0,16,9,22.2,33.3
CUST_00040,43,Female,Married,PhD,496,13,2395,0.77,2025-01-24 15:23:19.628568,100,15.4,11,9,0.0,44.4
CUST_00041,37,Female,Married,Masters,786,8,1534,0.51,2025-01-11 15:23:19.628568,95,25.0,13,12,8.3,41.7
